config,estimator,mean_bias,median_bias,sd,iqr,rmse,mad_err,q99_abs_err
Gaussian,Mean IV,-0.0004979820675681803,-0.00020729906739846982,0.022372656490230222,0.030307914303266403,0.022378197974132322,0.015136066727774677,0.0570617795293811
Gaussian,Ratio-of-Medians,-0.0021821254128617552,-0.002555093364520755,0.03960434560479932,0.05271377296880764,0.039664415564859196,0.026497576095010522,0.10201190101670919
Gaussian,Median-of-Ratios,-0.000926521757988038,-0.0004600985236838939,0.02739737558116124,0.037286051112474294,0.027413037615398175,0.018622165211193642,0.07106968385737161
Gaussian,Catoni,-0.0008800755888455217,-0.0005781412022795585,0.022377933088546343,0.03027267509632936,0.02239523213448655,0.015170973918757713,0.057095240051950616
Gaussian,Trimmed Mean,-0.0005657922836731895,-9.140334480134404e-05,0.0311828513632887,0.04250763173374694,0.031187983904914725,0.021232019680295366,0.080546069382501
t(3),Mean IV,-0.0006464254563053354,-0.0004236504856239831,0.02259871132535582,0.02957470893525138,0.02260795478227354,0.014761791483038744,0.05969665659554762
t(3),Ratio-of-Medians,-0.0016293483745943732,-0.0017382449069805461,0.03774463745821115,0.05158874925624868,0.037779788683601566,0.025748303055943556,0.09681798728476591
t(3),Median-of-Ratios,-0.0007201481791396827,-5.322510157085292e-05,0.025134983182939018,0.03351111458998424,0.02514529763209307,0.01679078885486296,0.06529490261186904
t(3),Catoni,-0.0009309749662429578,-0.0006697108320826706,0.02170448685893933,0.02894719220149422,0.021724443932990348,0.014528515585669144,0.05748452755881428
t(3),Trimmed Mean,0.0053639372072146405,0.00495904422541571,0.02647183814417993,0.03633873054438452,0.02700981371825065,0.018360601099773666,0.06893006520766133
t(2.1),Mean IV,-0.0001379577666608342,-2.260958724970008e-05,0.018927260497732565,0.017671579845382257,0.018927763267074363,0.008827876625885078,0.044585914045842126
t(2.1),Ratio-of-Medians,-0.00038270446390596213,-0.00010828359505055118,0.02542653542369291,0.03372333911937242,0.02542941537587925,0.016882581482559722,0.06759377847832573
t(2.1),Median-of-Ratios,4.299561382940128e-05,0.0001216105768304665,0.012837775256544243,0.017275709964404973,0.01283784725568692,0.008650359186871515,0.03413160367690497
t(2.1),Catoni,-0.0003099716811861625,-0.00016699779897255684,0.012958213585806573,0.01679164357667573,0.012961920451018029,0.008380747571875902,0.03484079214864521
t(2.1),Trimmed Mean,0.005592040480890698,0.005583170758164391,0.013991877310933945,0.018576278513002586,0.015067964276044338,0.010118994028225803,0.0387052273180126
Pareto(2.5),Mean IV,-0.00014225095479624444,6.0496066203508114e-05,0.021875263099777727,0.025877769924831373,0.021875725611248592,0.012928082334757951,0.06189285707435291
Pareto(2.5),Ratio-of-Medians,-0.0007846530008508709,-0.0007033310348543154,0.030820499429597092,0.040181400108352694,0.03083048597446266,0.02005306091355402,0.0810236804616563
Pareto(2.5),Median-of-Ratios,-9.240257301872944e-05,0.00024432656579109757,0.017894137563403127,0.0238804409417559,0.017894376138147296,0.011950174899017785,0.04714252621232413
Pareto(2.5),Catoni,-0.00034181502164877097,-0.0002662252068654225,0.018283465141356155,0.02422828161626689,0.018286660030858846,0.012140360278314222,0.0490733462355435
Pareto(2.5),Trimmed Mean,0.00903810575348582,0.008958731995525437,0.01801701866861392,0.023915259112240128,0.020156892551094676,0.013796136815959315,0.051240715233327946
"Mix(0.1,3)",Mean IV,-0.00030955764537230905,-0.00012113786650630454,0.022217434116697823,0.029273789432181507,0.022219590560260485,0.014641257417293885,0.05732120794805761
"Mix(0.1,3)",Ratio-of-Medians,-0.0018553024052748498,-0.0017738701585598426,0.039037251736646704,0.05219338280601704,0.03908131484693606,0.026175184052950162,0.10268013604592363
"Mix(0.1,3)",Median-of-Ratios,-0.0002634034826171064,-0.00010632571637181343,0.026662143680761998,0.03620184293439577,0.026663444770851568,0.0180483248547596,0.068411460817261
"Mix(0.1,3)",Catoni,-0.0006634392283344408,-0.0004748904829997014,0.0221090433916575,0.029161324919505738,0.02211899525981881,0.014614440298015452,0.057241652202732564
"Mix(0.1,3)",Trimmed Mean,0.004851484546059385,0.005035478843806174,0.02872486025528795,0.03847761263433813,0.02913167518332021,0.019755707214039908,0.0751678093638653
